run_id,total_reward,avg_reward,num_safe,num_risky,last_10_avg_reward,agent
0,1862.3137012777956,6.207712337592652,212,88,7.476797899913795,explorative
1,1815.142190146182,6.05047396715394,258,42,8.879162525829623,explorative
2,1976.3379521883394,6.587793173961131,295,5,6.838179253706613,explorative
3,2036.1588403556316,6.787196134518772,291,9,8.12042923217143,explorative
4,1847.7270231563984,6.159090077187995,269,31,7.369926441855251,explorative
5,2062.0331421708734,6.873443807236245,262,38,9.559219267364751,explorative
6,1933.2293797970933,6.444097932656978,289,11,6.674761782026367,explorative
7,2077.7389340985196,6.925796446995065,292,8,7.462580034659962,explorative
8,1908.7140391638795,6.362380130546265,293,7,4.776372936842187,explorative
9,1622.4103053429167,5.408034351143056,290,10,7.439501887027625,explorative
10,1974.0253716007016,6.580084572002339,291,9,8.859097075257534,explorative
11,1724.739188357779,5.749130627859263,293,7,7.858885918414948,explorative
12,2055.827214391753,6.852757381305843,289,11,9.943071704479166,explorative
13,2131.974801810667,7.106582672702223,292,8,4.82604612143975,explorative
14,1951.5811018669397,6.505270339556466,293,7,8.636927775505036,explorative
15,1984.4657655868843,6.614885885289614,291,9,6.497755816848068,explorative
16,2067.030284279125,6.890100947597084,228,72,4.540112512717722,explorative
17,2061.4390919707935,6.871463639902645,278,22,7.829019366209932,explorative
18,1682.9838489515128,5.609946163171709,141,159,4.792379258782459,explorative
19,1996.1696831635288,6.6538989438784295,294,6,5.069427631047196,explorative
20,2258.437135394994,7.52812378464998,282,18,8.240935451055595,explorative
21,1862.842780257706,6.209475934192353,281,19,8.800295905451,explorative
22,1750.9931171225726,5.836643723741909,294,6,7.371184720345466,explorative
23,1896.0857941588085,6.320285980529362,292,8,5.736426225986326,explorative
24,2069.333331703439,6.897777772344797,292,8,9.458485465316423,explorative
25,2078.5877491994497,6.928625830664832,296,4,10.302038479760071,explorative
26,1594.1478747184315,5.313826249061438,281,19,6.594650339920593,explorative
27,1801.5602222930352,6.005200740976784,292,8,6.415619163302393,explorative
28,2071.655391919776,6.90551797306592,291,9,7.591875043394657,explorative
29,1997.8715641646281,6.659571880548761,296,4,8.81123755133687,explorative
30,1688.4886048684423,5.6282953495614745,285,15,5.826908682168012,explorative
31,1800.356650266339,6.00118883422113,292,8,9.018408742560364,explorative
32,2185.4570986553795,7.284856995517932,293,7,8.68364112372927,explorative
33,2074.465787705419,6.914885959018064,295,5,10.97686969899996,explorative
34,1892.4595644130254,6.308198548043418,273,27,8.36247016791188,explorative
35,2229.8371404103154,7.432790468034384,297,3,6.683092450669891,explorative
36,1887.0333061172016,6.290111020390672,259,41,9.22085735827507,explorative
37,1996.2199966653918,6.654066655551306,292,8,5.250760322467897,explorative
38,1983.8333125615613,6.6127777085385375,295,5,6.246097914408834,explorative
39,2065.4103075057496,6.884701025019165,286,14,4.193167051019829,explorative
40,1906.6651815649036,6.3555506052163455,285,15,6.92617532189268,explorative
41,2097.461462792287,6.991538209307623,274,26,5.423793153447155,explorative
42,1827.522523226791,6.091741744089304,282,18,5.0236910035886,explorative
43,1888.9193243198308,6.29639774773277,280,20,8.156099136760291,explorative
44,1692.7975363968533,5.6426584546561775,296,4,9.001834102879368,explorative
45,2201.184922940613,7.33728307646871,291,9,4.761802984687294,explorative
46,2173.1773049996414,7.243924349998805,293,7,6.434219820462424,explorative
47,1863.2769378099251,6.210923126033084,285,15,4.968589082659738,explorative
48,1983.043969593235,6.610146565310783,289,11,5.158535000759781,explorative
49,2103.826275621982,7.0127542520732735,265,35,7.232358466645815,explorative
50,1281.508081890478,4.271693606301594,278,22,7.105475602969014,explorative
51,1911.9707202124944,6.373235734041648,185,115,5.4472361925909585,explorative
52,2225.9825233327933,7.419941744442644,281,19,8.519174770874843,explorative
53,1899.8439221621609,6.3328130738738695,292,8,4.415601988866863,explorative
54,1877.4567748917643,6.258189249639215,287,13,4.13444902812589,explorative
55,1995.4157786495111,6.651385928831703,293,7,7.155184992208061,explorative
56,2064.194612174324,6.8806487072477465,293,7,4.541234987910598,explorative
57,2068.9502551695887,6.896500850565295,289,11,9.300981008579338,explorative
58,1855.667410651003,6.185558035503343,292,8,9.104692624876012,explorative
59,2113.932633433776,7.046442111445921,295,5,5.366645225004348,explorative
60,2015.6039998985482,6.718679999661827,297,3,11.111996212078648,explorative
61,2144.6026183216472,7.14867539440549,294,6,8.413700980720154,explorative
